t_s,muestra,escenario,modo_decision,pose_fuente,mapa_csv,ruta_celdas,waypoints_total,waypoint_indice,distancia_waypoint_m,grid_fila,grid_columna,ps0_frontal_der,ps7_frontal_izq,ps2_lateral_der,ps5_lateral_izq,frontal_crudo,frontal_filtrado,frontal_kalman,kalman_ganancia,kalman_p,encoder_izq_rad,encoder_der_rad,avance_ds_m,velocidad_lineal_m_s,velocidad_angular_rad_s,odom_x_m,odom_y_m,odom_theta_rad,valor_decision,vel_motor_izq_rad_s,vel_motor_der_rad_s,accion
0.064,1,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.02333,12,1,63.662,69.984,63.765,66.769,66.823,66.823,66.823,0.0,1.0,215.84988,228.5292,0.0,0.0,0.0,-1.09194,-1.12189,1.53444,66.823,1.9,2.49,SEGUIR_RUTA
0.128,2,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.21924,12,1,67.792,67.068,71.729,70.236,67.43,67.127,67.19,0.07563,1.66387,215.9692,228.69248,0.002897,0.04526,0.27079,-1.09184,-1.11908,1.54778,67.19,1.951,2.44,SEGUIR_RUTA
0.192,3,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.21643,12,1,69.651,65.048,62.721,69.746,67.349,67.201,67.519,0.10071,2.21572,216.0948,228.84948,0.002897,0.04526,0.19342,-1.09178,-1.11627,1.5589,67.519,1.993,2.398,SEGUIR_RUTA
0.256,4,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.21362,12,1,62.823,70.805,64.972,63.387,66.814,67.104,67.733,0.12055,2.65216,216.2204,229.0002,0.002832,0.04425,0.15474,-1.09175,-1.11346,1.56818,67.733,2.028,2.363,SEGUIR_RUTA
0.32,5,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.21081,12,1,72.76,64.941,63.731,64.206,68.85,67.453,68.185,0.13563,2.98394,216.35228,229.15092,0.002897,0.04526,0.11605,-1.09175,-1.11065,1.57589,68.185,2.057,2.333,SEGUIR_RUTA
0.384,6,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.20801,12,1,66.838,59.887,57.399,69.27,63.362,66.761,67.774,0.14676,3.22862,216.48416,229.30164,0.002897,0.04526,0.11605,-1.09177,-1.10784,1.58227,67.774,2.081,2.309,SEGUIR_RUTA
0.448,7,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.2052,12,1,67.056,64.992,71.894,67.641,66.024,66.48,67.79,0.15478,3.40509,216.61604,229.44608,0.002832,0.04425,0.07737,-1.09181,-1.10503,1.58752,67.79,2.101,2.289,SEGUIR_RUTA
0.512,8,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.20239,12,1,71.162,72.535,67.127,54.668,71.849,67.38,68.733,0.16047,3.5303,216.7542,229.59052,0.002897,0.04526,0.03868,-1.09187,-1.10222,1.59184,68.733,2.117,2.273,SEGUIR_RUTA
0.576,9,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.19958,12,1,70.143,68.788,61.354,64.642,69.465,67.91,69.144,0.16446,3.61814,216.88608,229.74124,0.002897,0.04526,0.11605,-1.09193,-1.09941,1.59538,69.144,2.131,2.26,SEGUIR_RUTA
0.64,10,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.19677,12,1,63.284,63.746,74.12,70.782,63.515,66.843,68.492,0.16724,3.67925,217.02424,229.88568,0.002897,0.04526,0.03868,-1.09201,-1.09661,1.59828,68.492,2.142,2.249,SEGUIR_RUTA
0.704,11,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.19396,12,1,68.098,66.564,69.68,65.622,67.331,67.637,68.578,0.16916,3.72154,217.1624,230.02384,0.002832,0.04425,0.0,-1.09209,-1.0938,1.60066,68.578,2.151,2.24,SEGUIR_RUTA
0.768,12,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.19115,12,1,68.155,73.454,60.339,66.996,70.805,68.593,69.24,0.17049,3.75068,217.29428,230.16828,0.002832,0.04425,0.07737,-1.09217,-1.09099,1.60261,69.24,2.158,2.232,SEGUIR_RUTA
0.832,13,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.18834,12,1,66.619,68.489,62.182,72.358,67.554,67.734,69.239,0.1714,3.77071,217.43244,230.31272,0.002897,0.04526,0.03868,-1.09227,-1.08818,1.60422,69.239,2.164,2.226,SEGUIR_RUTA
0.896,14,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.18553,12,1,69.809,69.763,66.024,70.967,69.786,67.798,69.621,0.17202,3.78446,217.5706,230.45716,0.002897,0.04526,0.03868,-1.09236,-1.08537,1.60555,69.621,2.169,2.221,SEGUIR_RUTA
0.96,15,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.18272,12,1,67.51,65.362,69.295,68.284,66.436,68.382,69.359,0.17245,3.79387,217.71504,230.59532,0.002897,0.04526,-0.03868,-1.09246,-1.08257,1.60665,69.359,2.173,2.217,SEGUIR_RUTA
1.024,16,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.17991,12,1,72.056,63.584,67.125,62.728,67.82,68.48,69.381,0.17274,3.80032,217.8532,230.73976,0.002897,0.04526,0.03868,-1.09257,-1.07976,1.60756,69.381,2.177,2.214,SEGUIR_RUTA
1.088,17,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.1771,12,1,61.21,67.347,69.334,69.812,64.278,67.175,68.779,0.17294,3.80473,217.99136,230.87792,0.002832,0.04425,0.0,-1.09267,-1.07695,1.60832,68.779,2.179,2.211,SEGUIR_RUTA
1.152,18,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.17429,12,1,62.1,67.006,63.979,69.308,64.553,66.575,68.335,0.17308,3.80775,218.12952,231.02236,0.002897,0.04526,0.03868,-1.09278,-1.07414,1.60896,68.335,2.182,2.208,SEGUIR_RUTA
1.216,19,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.17149,12,1,67.686,64.656,67.936,66.03,66.171,65.852,68.242,0.17317,3.80981,218.26768,231.16052,0.002832,0.04425,0.0,-1.09288,-1.07134,1.60951,68.242,2.184,2.206,SEGUIR_RUTA
1.28,20,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.16868,12,1,63.675,70.418,65.771,69.959,67.046,65.974,68.322,0.17324,3.81122,218.40584,231.30496,0.002897,0.04526,0.03868,-1.09299,-1.06853,1.61,68.322,2.186,2.205,SEGUIR_RUTA
1.344,21,maze_simple,kalman,supervisor,maze_simple_grid.csv,25,8,1,0.16587,12,1,67.986,65.157,62.879,57.993,66.572,65.724,68.306,0.17328,3.81218,218.55028,231.44312,0.002897,0.04526,-0.03868,-1.0931,-1.06572,1.61042,68.306,2.187,2.203,SEGUIR_RUTA
